Date,Close,High,Low,Open,Volume,Returns,signal
2024-03-22,425.4915466308594,426.6030558566972,422.8417934382558,426.4442947841674,17636500.0,,0
2024-03-25,419.65606689453125,424.1716107025241,418.41553787360243,422.0180389961963,18060500.0,-0.01371467842906593,0
2024-03-26,418.45526123046875,422.7623745415083,418.1575463672177,422.38524885715407,16725600.0,-0.0028614042755261693,0
2024-03-27,418.2369079589844,421.23404544961727,415.83526074059097,421.2241115258407,16705000.0,-0.0005218079248001661,0
2024-03-28,417.53228759765625,418.6735682140503,415.94440442920035,417.7704594727013,21871200.0,-0.001684739792015777,0
2024-04-01,421.35308837890625,424.6479403829761,419.0208880059547,420.7377908946275,16316000.0,0.009150910946872148,0
2024-04-02,418.2468566894531,419.17973696688534,414.6741269340057,416.9269168072685,17912000.0,-0.007372039686249554,0
2024-04-03,417.26434326171875,420.0530500088036,415.91463197146663,416.54979735190346,16502300.0,-0.002349123279757004,0
2024-04-04,414.71380615234375,425.4220608182633,414.4061573873391,421.76992047315406,19370900.0,-0.006112521116560465,0
2024-04-05,422.2958984375,423.2784179752705,415.1504697507563,416.8276673390752,16544300.0,0.018282710082651477,0
2024-04-08,421.3729553222656,424.0425761054586,420.09272093696904,421.9485777283347,14272400.0,-0.002185536536464805,0
2024-04-09,423.0501708984375,424.4991003259259,418.4254750382327,423.20896224870864,12512300.0,0.00398035886021475,0
2024-04-10,420.0530700683594,420.81722505973426,416.5200457584293,418.99116993330387,16216600.0,-0.007084504477833264,0
2024-04-11,424.6876525878906,426.1167444183971,419.15984809671994,422.5936541739285,17966400.0,0.011033326143234712,0
2024-04-12,418.703369140625,421.9585162359949,416.58950274190113,420.8370731015467,19232100.0,-0.014091022921904117,0
2024-04-15,410.5059509277344,423.5860815606245,410.2975202475589,423.36774724307367,20273500.0,-0.019578104254846518,0
2024-04-16,411.4388122558594,415.2298762897989,410.59527673352017,411.4289086182102,16765600.0,0.002272467246861476,0
2024-04-17,408.7195739746094,415.70624190109544,407.22100522560083,414.0885872118868,15855500.0,-0.006609095205045934,0
2024-04-18,401.2069091796875,408.76919927263555,400.88935677884103,407.5187363707615,21029900.0,-0.018380976281279326,0
2024-04-19,396.095947265625,402.4077746386735,394.7561698730406,400.9687488676842,30276500.0,-0.012738967842085391,0
2024-04-22,397.9219970703125,399.7976914523607,392.7514806878664,397.04865981007964,20286900.0,0.004610119889620901,0
2024-04-23,404.48193359375,405.10716505974153,400.0060952402287,401.1771473553241,15734500.0,0.016485483516203825,0
2024-04-24,405.96063232421875,409.3447990752087,403.6979086365787,406.45684392489727,15065300.0,0.0036557843692319736,0
2024-04-25,396.0165710449219,396.8601368410158,385.08998167747234,391.04452101034235,40586500.0,-0.024495136935729023,0
2024-04-26,403.2413635253906,409.87074260189837,402.68560900917737,409.04704475026614,29694700.0,0.018243662030115404,0
2024-04-29,399.20220947265625,403.2413789354232,396.165397076456,402.17947890315463,19582100.0,-0.010016715590438263,0
